"","matching_names_BL_V7","matching_names_jetz"
"548","Reinwardtoena reinwardti","Reinwardtoena reinwardtsi"
"549","Reinwardtoena browni","Reinwardtoena browni"
"550","Reinwardtoena crassirostris","Reinwardtoena crassirostris"
"551","Turacoena manadensis","Turacoena manadensis"
"552","Turacoena modesta","Turacoena modesta"
"553","Chalcophaps indica","Chalcophaps indica"
"554","Chalcophaps stephani","Chalcophaps stephani"
"555","Henicophaps albifrons","Henicophaps albifrons"
"556","Henicophaps foersteri","Henicophaps foersteri"
"557","Phaps chalcoptera","Phaps chalcoptera"
"558","Phaps histrionica","Phaps histrionica"
"559","Ocyphaps lophotes","Ocyphaps lophotes"
"560","Geophaps plumifera","Geophaps plumifera"
"561","Geophaps smithii","Geophaps smithii"
"562","Geophaps scripta","Geophaps scripta"
"563","Petrophassa albipennis","Petrophassa albipennis"
"564","Petrophassa rufipennis","Petrophassa rufipennis"
"565","Geopelia cuneata","Geopelia cuneata"
"566","Geopelia striata","Geopelia striata"
"567","Geopelia maugeus","Geopelia maugeus"
"568","Geopelia placida","Geopelia placida"
"569","Geopelia humeralis","Geopelia humeralis"
"570","Caloenas nicobarica","Caloenas nicobarica"
"571","Gallicolumba luzonica","Gallicolumba luzonica"
"572","Gallicolumba keayi","Gallicolumba keayi"
"573","Gallicolumba crinigera","Gallicolumba crinigera"
"574","Gallicolumba rufigula","Gallicolumba rufigula"
"575","Gallicolumba tristigmata","Gallicolumba tristigmata"
"576","Alopecoenas jobiensis","Gallicolumba jobiensis"
"577","Alopecoenas hoedtii","Gallicolumba hoedtii"
"578","Trugon terrestris","Trugon terrestris"
"579","Otidiphaps nobilis","Otidiphaps nobilis"
"580","Phapitreron leucotis","Phapitreron leucotis"
"581","Phapitreron amethystinus","Phapitreron amethystinus"
"582","Treron fulvicollis","Treron fulvicollis"
"583","Treron olax","Treron olax"
"584","Treron vernans","Treron vernans"
"585","Treron bicinctus","Treron bicinctus"
"586","Treron curvirostra","Treron curvirostra"
"587","Treron griseicauda","Treron griseicauda"
"588","Treron floris","Treron floris"
"589","Treron teysmannii","Treron teysmannii"
"590","Treron psittaceus","Treron psittaceus"
"591","Treron capellei","Treron capellei"
"592","Treron phoenicopterus","Treron phoenicopterus"
"593","Treron apicauda","Treron apicauda"
"594","Treron oxyurus","Treron oxyurus"
"595","Treron seimundi","Treron seimundi"
"596","Treron sphenurus","Treron sphenurus"
"597","Treron sieboldii","Treron sieboldii"
"598","Ptilinopus porphyreus","Ptilinopus porphyreus"
"599","Ptilinopus cinctus","Ptilinopus cinctus"
"600","Ptilinopus dohertyi","Ptilinopus dohertyi"
"601","Ramphiculus marchei","Ptilinopus marchei"
"602","Ramphiculus merrilli","Ptilinopus merrilli"
"603","Ramphiculus occipitalis","Ptilinopus occipitalis"
"604","Ramphiculus jambu","Ptilinopus jambu"
"605","Ramphiculus leclancheri","Ptilinopus leclancheri"
"606","Megaloprepia formosa","Ptilinopus bernsteinii"
"607","Megaloprepia magnifica","Ptilinopus magnificus"
"608","Ptilinopus perlatus","Ptilinopus perlatus"
"609","Ptilinopus ornatus","Ptilinopus ornatus"
"610","Ptilinopus aurantiifrons","Ptilinopus aurantiifrons"
"611","Ptilinopus wallacii","Ptilinopus wallacii"
"612","Ptilinopus superbus","Ptilinopus superbus"
"613","Ptilinopus monacha","Ptilinopus monacha"
"614","Ptilinopus coronulatus","Ptilinopus coronulatus"
"615","Ptilinopus pulchellus","Ptilinopus pulchellus"
"616","Ptilinopus regina","Ptilinopus regina"
"617","Ptilinopus rivoli","Ptilinopus rivoli"
"618","Ptilinopus solomonensis","Ptilinopus solomonensis"
"619","Ptilinopus viridis","Ptilinopus viridis"
"620","Ptilinopus hyogastrus","Ptilinopus hyogastrus"
"621","Ptilinopus iozonus","Ptilinopus iozonus"
"622","Ptilinopus insolitus","Ptilinopus insolitus"
"623","Ptilinopus nainus","Ptilinopus naina"
"624","Ptilinopus melanospilus","Ptilinopus melanospilus"
"625","Ducula poliocephala","Ducula poliocephala"
"626","Ducula forsteni","Ducula forsteni"
"627","Ducula mindorensis","Ducula mindorensis"
"628","Ducula radiata","Ducula radiata"
"629","Ducula carola","Ducula carola"
"630","Ducula aenea","Ducula aenea"
"631","Ducula perspicillata","Ducula perspicillata"
"632","Ducula rubricera","Ducula rubricera"
"633","Ducula myristicivora","Ducula myristicivora"
"634","Ducula pistrinaria","Ducula pistrinaria"
"635","Ducula rosacea","Ducula rosacea"
"636","Ducula basilica","Ducula basilica"
"637","Ducula rufigaster","Ducula rufigaster"
"638","Ducula finschii","Ducula finschii"
"639","Ducula chalconota","Ducula chalconota"
"640","Ducula brenchleyi","Ducula brenchleyi"
"641","Ducula pinon","Ducula pinon"
"642","Ducula melanochroa","Ducula melanochroa"
"643","Ducula mullerii","Ducula mullerii"
"644","Ducula zoeae","Ducula zoeae"
"645","Ducula badia","Ducula badia"
"646","Ducula lacernulata","Ducula lacernulata"
"647","Ducula cineracea","Ducula cineracea"
"648","Ducula bicolor","Ducula bicolor"
"649","Ducula luctuosa","Ducula luctuosa"
"650","Ducula spilorrhoa","Ducula spilorrhoa"
"651","Ducula subflavescens","Ducula subflavescens"
"652","Lopholaimus antarcticus","Lopholaimus antarcticus"
"653","Cryptophaps poecilorrhoa","Cryptophaps poecilorrhoa"
"654","Gymnophaps albertisii","Gymnophaps albertisii"
"655","Gymnophaps mada","Gymnophaps mada"
"656","Gymnophaps solomonensis","Gymnophaps solomonensis"
"657","Goura cristata","Goura cristata"
"658","Goura victoria","Goura victoria"
"659","Goura scheepmakeri","Goura scheepmakeri"
"660","Ardeotis australis","Ardeotis australis"
"661","Houbaropsis bengalensis","Houbaropsis bengalensis"
"662","Antigone antigone","Grus antigone"
"663","Antigone rubicunda","Grus rubicunda"
"664","Heliopais personatus","Heliopais personatus"
"665","Rallicula rubra","Rallina rubra"
"666","Rallicula leucospila","Rallina leucospila"
"667","Rallicula forbesi","Rallina forbesi"
"668","Rallicula mayri","Rallina mayri"
"669","Rallina tricolor","Rallina tricolor"
"670","Rallina fasciata","Rallina fasciata"
"671","Rallina eurizonoides","Rallina eurizonoides"
"672","Hypotaenidia torquata","Gallirallus torquatus"
"673","Hypotaenidia insignis","Gallirallus insignis"
"674","Hypotaenidia philippensis","Gallirallus philippensis"
"675","Lewinia striata","Gallirallus striatus"
"676","Lewinia mirifica","Lewinia mirifica"
"677","Lewinia pectoralis","Lewinia pectoralis"
"678","Aramidopsis plateni","Aramidopsis plateni"
"679","Gymnocrex rosenbergii","Gymnocrex rosenbergii"
"680","Gymnocrex plumbeiventris","Gymnocrex plumbeiventris"
"681","Zapornia akool","Amaurornis akool"
"682","Amaurornis olivacea","Amaurornis olivacea"
"683","Amaurornis isabellina","Amaurornis isabellina"
"684","Amaurornis moluccana","Amaurornis moluccana"
"685","Amaurornis phoenicurus","Amaurornis phoenicurus"
"686","Zapornia bicolor","Amaurornis bicolor"
"687","Zapornia pusilla","Porzana pusilla"
"688","Porzana fluminea","Porzana fluminea"
"689","Zapornia fusca","Porzana fusca"
"690","Zapornia tabuensis","Porzana tabuensis"
"691","Amaurornis cinerea","Porzana cinerea"
"692","Eulabeornis castaneoventris","Eulabeornis castaneoventris"
"693","Habroptila wallacii","Habroptila wallacii"
"694","Megacrex inepta","Megacrex inepta"
"695","Gallicrex cinerea","Gallicrex cinerea"
"696","Porphyrio porphyrio","Porphyrio porphyrio"
"697","Gallinula chloropus","Gallinula chloropus"
"698","Gallinula tenebrosa","Gallinula tenebrosa"
"699","Tribonyx ventralis","Gallinula ventralis"
"700","Fulica atra","Fulica atra"
"701","Scolopax saturata","Scolopax saturata"
"702","Scolopax celebensis","Scolopax celebensis"
"703","Rostratula benghalensis","Rostratula benghalensis"
"704","Irediparra gallinacea","Irediparra gallinacea"
"705","Hydrophasianus chirurgus","Hydrophasianus chirurgus"
"706","Metopidius indicus","Metopidius indicus"
"707","Burhinus grallarius","Burhinus grallarius"
"708","Esacus recurvirostris","Esacus recurvirostris"
"709","Haematopus longirostris","Haematopus longirostris"
"710","Haematopus fuliginosus","Haematopus fuliginosus"
"711","Himantopus himantopus","Himantopus himantopus"
"712","Recurvirostra novaehollandiae","Recurvirostra novaehollandiae"
"713","Charadrius dubius","Charadrius dubius"
"714","Charadrius alexandrinus","Charadrius alexandrinus"
"715","Charadrius ruficapillus","Charadrius ruficapillus"
"716","Charadrius peronii","Charadrius peronii"
"717","Charadrius javanicus","Charadrius javanicus"
"718","Erythrogonys cinctus","Erythrogonys cinctus"
"719","Elseyornis melanops","Elseyornis melanops"
"720","Vanellus tricolor","Vanellus tricolor"
"721","Vanellus miles","Vanellus miles"
"722","Vanellus duvaucelii","Vanellus duvaucelii"
"723","Vanellus indicus","Vanellus indicus"
"724","Glareola maldivarum","Glareola maldivarum"
"725","Glareola lactea","Glareola lactea"
"726","Stiltia isabella","Stiltia isabella"
"727","Rynchops albicollis","Rynchops albicollis"
"728","Larus novaehollandiae","Larus novaehollandiae"
"729","Hydroprogne caspia","Sterna caspia"
"730","Sterna aurantia","Sterna aurantia"
"731","Thalasseus bengalensis","Sterna bengalensis"
"732","Thalasseus bergii","Sterna bergii"
"733","Sterna dougallii","Sterna dougallii"
"734","Sterna sumatrana","Sterna sumatrana"
"735","Sternula albifrons","Sterna albifrons"
"736","Sterna acuticauda","Sterna acuticauda"
"737","Onychoprion anaethetus","Sterna anaethetus"
"738","Onychoprion fuscatus","Sterna fuscata"
"739","Anous stolidus","Anous stolidus"
"740","Anous minutus","Anous minutus"
"741","Gygis alba","Gygis alba"
"742","Pandion haliaetus","Pandion haliaetus"
"743","Aviceda jerdoni","Aviceda jerdoni"
"744","Aviceda subcristata","Aviceda subcristata"
"745","Aviceda leuphotes","Aviceda leuphotes"
"746","Henicopernis longicauda","Henicopernis longicauda"
"747","Henicopernis infuscatus","Henicopernis infuscatus"
"748","Pernis ptilorhynchus","Pernis ptilorhyncus"
"749","Pernis celebensis","Pernis celebensis"
"750","Lophoictinia isura","Lophoictinia isura"
"751","Hamirostra melanosternon","Hamirostra melanosternon"
"752","Macheiramphus alcinus","Macheiramphus alcinus"
"753","Elanus caeruleus","Elanus caeruleus"
"754","Elanus axillaris","Elanus axillaris"
"755","Elanus scriptus","Elanus scriptus"
"756","Milvus migrans","Milvus migrans"
"757","Haliastur sphenurus","Haliastur sphenurus"
"758","Haliastur indus","Haliastur indus"
"759","Haliaeetus leucogaster","Haliaeetus leucogaster"
"760","Haliaeetus sanfordi","Haliaeetus sanfordi"
"761","Haliaeetus leucoryphus","Haliaeetus leucoryphus"
"762","Icthyophaga humilis","Ichthyophaga humilis"
"763","Icthyophaga ichthyaetus","Ichthyophaga ichthyaetus"
"764","Gyps bengalensis","Gyps bengalensis"
"765","Sarcogyps calvus","Sarcogyps calvus"
"766","Circaetus gallicus","Circaetus gallicus"
"767","Spilornis cheela","Spilornis cheela"
"768","Spilornis kinabaluensis","Spilornis kinabaluensis"
"769","Spilornis rufipectus","Spilornis rufipectus"
"770","Spilornis holospilus","Spilornis holospilus"
"771","Circus assimilis","Circus assimilis"
"772","Accipiter trivirgatus","Accipiter trivirgatus"
"773","Accipiter griseiceps","Accipiter griseiceps"
"774","Accipiter badius","Accipiter badius"
"775","Accipiter trinotatus","Accipiter trinotatus"
"776","Accipiter novaehollandiae","Accipiter novaehollandiae"
"777","Accipiter fasciatus","Accipiter fasciatus"
"778","Accipiter melanochlamys","Accipiter melanochlamys"
"779","Accipiter albogularis","Accipiter albogularis"
"780","Accipiter henicogrammus","Accipiter henicogrammus"
"781","Accipiter luteoschistaceus","Accipiter luteoschistaceus"
"782","Accipiter imitator","Accipiter imitator"
"783","Accipiter poliocephalus","Accipiter poliocephalus"
"784","Accipiter princeps","Accipiter princeps"
"785","Accipiter virgatus","Accipiter virgatus"
"786","Accipiter nanus","Accipiter nanus"
"787","Accipiter erythrauchen","Accipiter erythrauchen"
"788","Accipiter cirrocephalus","Accipiter cirrocephalus"
"789","Accipiter brachyurus","Accipiter brachyurus"
"790","Accipiter rhodogaster","Accipiter rhodogaster"
"791","Accipiter meyerianus","Accipiter meyerianus"
"792","Erythrotriorchis buergersi","Erythrotriorchis buergersi"
"793","Erythrotriorchis radiatus","Erythrotriorchis radiatus"
"794","Megatriorchis doriae","Megatriorchis doriae"
"795","Butastur teesa","Butastur teesa"
"796","Butastur liventer","Butastur liventer"
"797","Harpyopsis novaeguineae","Harpyopsis novaeguineae"
"798","Pithecophaga jefferyi","Pithecophaga jefferyi"
"799","Ictinaetus malaiensis","Ictinaetus malayensis"
"800","Aquila gurneyi","Aquila gurneyi"
"801","Aquila audax","Aquila audax"
"802","Aquila fasciata","Aquila fasciatus"
"803","Hieraaetus morphnoides","Hieraaetus morphnoides"
"804","Lophotriorchis kienerii","Lophotriorchis kienerii"
"805","Nisaetus cirrhatus","Nisaetus cirrhatus"
"806","Nisaetus nipalensis","Nisaetus nipalensis"
"807","Nisaetus alboniger","Nisaetus alboniger"
"808","Nisaetus bartelsi","Nisaetus bartelsi"
"809","Nisaetus lanceolatus","Nisaetus lanceolatus"
"810","Nisaetus philippensis","Nisaetus philippensis"
"811","Nisaetus nanus","Nisaetus nanus"
"812","Polihierax insignis","Polihierax insignis"
"813","Microhierax caerulescens","Microhierax caerulescens"
"814","Microhierax fringillarius","Microhierax fringillarius"
"815","Microhierax latifrons","Microhierax latifrons"
"816","Microhierax erythrogenys","Microhierax erythrogenys"
"817","Microhierax melanoleucos","Microhierax melanoleucos"
"818","Falco berigora","Falco berigora"
"819","Falco moluccensis","Falco moluccensis"
"820","Falco cenchroides","Falco cenchroides"
"821","Falco severus","Falco severus"
"822","Falco longipennis","Falco longipennis"
"823","Falco hypoleucos","Falco hypoleucos"
"824","Falco subniger","Falco subniger"
"825","Falco jugger","Falco jugger"
"826","Falco peregrinus","Falco peregrinus"
"827","Tachybaptus ruficollis","Tachybaptus ruficollis"
"828","Tachybaptus novaehollandiae","Tachybaptus novaehollandiae"
"829","Phaethon rubricauda","Phaethon rubricauda"
"830","Sula dactylatra","Sula dactylatra"
"831","Sula sula","Sula sula"
"832","Sula leucogaster","Sula leucogaster"
"833","Anhinga melanogaster","Anhinga melanogaster"
"834","Anhinga novaehollandiae","Anhinga novaehollandiae"
"835","Microcarbo niger","Phalacrocorax niger"
"836","Microcarbo melanoleucos","Phalacrocorax melanoleucos"
"837","Phalacrocorax fuscicollis","Phalacrocorax fuscicollis"
"838","Phalacrocorax varius","Phalacrocorax varius"
"839","Phalacrocorax sulcirostris","Phalacrocorax sulcirostris"
"840","Phalacrocorax carbo","Phalacrocorax carbo"
"841","Egretta novaehollandiae","Egretta novaehollandiae"
"842","Egretta garzetta","Egretta garzetta"
"843","Egretta sacra","Egretta sacra"
"844","Ardea cinerea","Ardea cinerea"
"845","Ardea pacifica","Ardea pacifica"
"846","Ardea sumatrana","Ardea sumatrana"
"847","Ardea purpurea","Ardea purpurea"
"848","Egretta picata","Ardea picata"
"849","Ardea alba","Casmerodius albus"
"850","Ardeola grayii","Ardeola grayii"
"851","Ardeola bacchus","Ardeola bacchus"
"852","Ardeola speciosa","Ardeola speciosa"
"853","Butorides striata","Butorides striata"
"854","Nycticorax nycticorax","Nycticorax nycticorax"
"855","Nycticorax caledonicus","Nycticorax caledonicus"
"856","Gorsachius magnificus","Gorsachius magnificus"
"857","Gorsachius melanolophus","Gorsachius melanolophus"
"858","Zonerodius heliosylus","Zonerodius heliosylus"
"859","Ixobrychus sinensis","Ixobrychus sinensis"
"860","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus"
"861","Ixobrychus flavicollis","Ixobrychus flavicollis"
"862","Plegadis falcinellus","Plegadis falcinellus"
"863","Threskiornis melanocephalus","Threskiornis melanocephalus"
"864","Threskiornis moluccus","Threskiornis molucca"
"865","Threskiornis spinicollis","Threskiornis spinicollis"
"866","Pseudibis davisoni","Pseudibis davisoni"
"867","Thaumatibis gigantea","Thaumatibis gigantea"
"868","Platalea regia","Platalea regia"
"869","Pelecanus philippensis","Pelecanus philippensis"
"870","Pelecanus conspicillatus","Pelecanus conspicillatus"
"871","Mycteria cinerea","Mycteria cinerea"
"872","Mycteria leucocephala","Mycteria leucocephala"
"873","Anastomus oscitans","Anastomus oscitans"
"874","Ciconia episcopus","Ciconia episcopus"
"875","Ciconia stormi","Ciconia stormi"
"876","Ephippiorhynchus asiaticus","Ephippiorhynchus asiaticus"
"877","Leptoptilos javanicus","Leptoptilos javanicus"
"878","Leptoptilos dubius","Leptoptilos dubius"
"879","Fregata ariel","Fregata ariel"
"880","Pseudobulweria becki","Pseudobulweria becki"
"881","Pseudobulweria rostrata","Pseudobulweria rostrata"
"882","Pterodroma leucoptera","Pterodroma leucoptera"
"883","Pterodroma brevipes","Pterodroma brevipes"
"884","Pterodroma heraldica","Pterodroma heraldica"
"885","Pterodroma neglecta","Pterodroma neglecta"
"886","Pterodroma solandri","Pterodroma solandri"
"887","Bulweria bulwerii","Bulweria bulwerii"
"888","Calonectris leucomelas","Calonectris leucomelas"
"889","Ardenna pacifica","Puffinus pacificus"
"890","Ardenna carneipes","Puffinus carneipes"
"891","Ardenna tenuirostris","Puffinus tenuirostris"
"892","Puffinus huttoni","Puffinus huttoni"
"893","Puffinus heinrothi","Puffinus heinrothi"
"894","Fregetta grallaria","Fregetta grallaria"
"895","Hydrobates monorhis","Oceanodroma monorhis"
"896","Pitta phayrei","Pitta phayrei"
"897","Pitta nipalensis","Pitta nipalensis"
"898","Pitta soror","Pitta soror"
"899","Pitta oatesi","Pitta oatesi"
"900","Pitta schneideri","Pitta schneideri"
"901","Pitta caerulea","Pitta caerulea"
"902","Pitta cyanea","Pitta cyanea"
"903","Pitta guajana","Pitta guajana"
"904","Pitta elliotii","Pitta elliotii"
"905","Pitta baudii","Pitta baudii"
"906","Pitta sordida","Pitta sordida"
"907","Pitta maxima","Pitta maxima"
"908","Pitta steerii","Pitta steerii"
"909","Pitta kochi","Pitta kochi"
"910","Pitta erythrogaster","Pitta erythrogaster"
"911","Pitta dohertyi","Pitta dohertyi"
"912","Pitta arcuata","Pitta arcuata"
"913","Pitta granatina","Pitta granatina"
"914","Pitta venusta","Pitta venusta"
"915","Pitta moluccensis","Pitta moluccensis"
"916","Pitta megarhyncha","Pitta megarhyncha"
"917","Pitta elegans","Pitta elegans"
"918","Pitta iris","Pitta iris"
"919","Pitta versicolor","Pitta versicolor"
"920","Pitta anerythra","Pitta anerythra"
"921","Corydon sumatranus","Corydon sumatranus"
"922","Eurylaimus samarensis","Eurylaimus samarensis"
"923","Eurylaimus javanicus","Eurylaimus javanicus"
"924","Eurylaimus ochromalus","Eurylaimus ochromalus"
"925","Eurylaimus steerii","Eurylaimus steerii"
"926","Serilophus lunatus","Serilophus lunatus"
"927","Psarisomus dalhousiae","Psarisomus dalhousiae"
"928","Calyptomena viridis","Calyptomena viridis"
"929","Calyptomena hosii","Calyptomena hosii"
"930","Calyptomena whiteheadi","Calyptomena whiteheadi"
"931","Cormobates placens","Cormobates placens"
"932","Cormobates leucophaea","Cormobates leucophaea"
"933","Climacteris picumnus","Climacteris picumnus"
"934","Climacteris melanurus","Climacteris melanurus"
"935","Ailuroedus buccoides","Ailuroedus buccoides"
"936","Ailuroedus melanotis","Ailuroedus melanotis"
"937","Scenopoeetes dentirostris","Scenopoeetes dentirostris"
"938","Archboldia papuensis","Archboldia papuensis"
"939","Amblyornis inornata","Amblyornis inornata"
"940","Amblyornis macgregoriae","Amblyornis macgregoriae"
"941","Amblyornis subalaris","Amblyornis subalaris"
"942","Prionodura newtoniana","Prionodura newtoniana"
"943","Sericulus aureus","Sericulus aureus"
"944","Ptilonorhynchus violaceus","Ptilonorhynchus violaceus"
"945","Chlamydera maculata","Chlamydera maculata"
"946","Chlamydera nuchalis","Chlamydera nuchalis"
"947","Chlamydera lauterbachi","Chlamydera lauterbachi"
"948","Chlamydera cerviniventris","Chlamydera cerviniventris"
"949","Clytomyias insignis","Clytomyias insignis"
"950","Sipodotus wallacii","Sipodotus wallacii"
"951","Malurus grayi","Malurus grayi"
"952","Malurus alboscapulatus","Malurus alboscapulatus"
"953","Malurus melanocephalus","Malurus melanocephalus"
"954","Malurus leucopterus","Malurus leucopterus"
"955","Malurus lamberti","Malurus lamberti"
"956","Malurus amabilis","Malurus amabilis"
"957","Malurus coronatus","Malurus coronatus"
"958","Malurus cyanocephalus","Malurus cyanocephalus"
"959","Amytornis woodwardi","Amytornis woodwardi"
"960","Amytornis dorotheae","Amytornis dorotheae"
"961","Amytornis housei","Amytornis housei"
"962","Myzomela blasii","Myzomela blasii"
"963","Myzomela eques","Myzomela eques"
"964","Myzomela obscura","Myzomela obscura"
"965","Myzomela cruentata","Myzomela cruentata"
"966","Myzomela nigrita","Myzomela nigrita"
"967","Myzomela pulchella","Myzomela pulchella"
"968","Myzomela adolphinae","Myzomela adolphinae"
"969","Myzomela dammermani","Myzomela dammermani"
"970","Myzomela erythrocephala","Myzomela erythrocephala"
"971","Myzomela chloroptera","Myzomela chloroptera"
"972","Myzomela wakoloensis","Myzomela wakoloensis"
"973","Myzomela sanguinolenta","Myzomela sanguinolenta"
"974","Myzomela lafargei","Myzomela lafargei"
"975","Myzomela melanocephala","Myzomela melanocephala"
"976","Myzomela erythromelas","Myzomela erythromelas"
"977","Myzomela vulnerata","Myzomela vulnerata"
"978","Myzomela rosenbergii","Myzomela rosenbergii"
"979","Certhionyx pectoralis","Certhionyx pectoralis"
"980","Certhionyx niger","Certhionyx niger"
"981","Certhionyx variegatus","Certhionyx variegatus"
"982","Timeliopsis fulvigula","Timeliopsis fulvigula"
"983","Timeliopsis griseigula","Timeliopsis griseigula"
"984","Melilestes megarhynchus","Melilestes megarhynchus"
"985","Glycichaera fallax","Glycichaera fallax"
"986","Lichmera lombokia","Lichmera lombokia"
"987","Lichmera argentauris","Lichmera argentauris"
"988","Lichmera limbata","Lichmera limbata"
"989","Lichmera indistincta","Lichmera indistincta"
"990","Lichmera alboauricularis","Lichmera alboauricularis"
"991","Lichmera deningeri","Lichmera deningeri"
"992","Lichmera monticola","Lichmera monticola"
"993","Lichmera flavicans","Lichmera flavicans"
"994","Trichodere cockerelli","Trichodere cockerelli"
"995","Meliphaga montana","Meliphaga montana"
"996","Meliphaga mimikae","Meliphaga mimikae"
"997","Meliphaga orientalis","Meliphaga orientalis"
"998","Meliphaga albonotata","Meliphaga albonotata"
"999","Meliphaga aruensis","Meliphaga aruensis"
"1000","Meliphaga analoga","Meliphaga analoga"
"1001","Meliphaga gracilis","Meliphaga gracilis"
"1002","Meliphaga notata","Meliphaga notata"
"1003","Meliphaga flavirictus","Meliphaga flavirictus"
"1004","Meliphaga lewinii","Meliphaga lewinii"
"1005","Meliphaga albilineata","Meliphaga albilineata"
"1006","Meliphaga reticulata","Meliphaga reticulata"
"1007","Lichenostomus subfrenatus","Lichenostomus subfrenatus"
"1008","Lichenostomus obscurus","Lichenostomus obscurus"
"1009","Lichenostomus frenatus","Lichenostomus frenatus"
"1010","Lichenostomus chrysops","Lichenostomus chrysops"
"1011","Lichenostomus versicolor","Lichenostomus versicolor"
"1012","Lichenostomus virescens","Lichenostomus virescens"
"1013","Lichenostomus flavus","Lichenostomus flavus"
"1014","Lichenostomus unicolor","Lichenostomus unicolor"
"1015","Lichenostomus keartlandi","Lichenostomus keartlandi"
"1016","Lichenostomus flavescens","Lichenostomus flavescens"
"1017","Lichenostomus fuscus","Lichenostomus fuscus"
"1018","Lichenostomus plumulus","Lichenostomus plumulus"
"1019","Lichenostomus penicillatus","Lichenostomus penicillatus"
"1020","Xanthotis flaviventer","Xanthotis flaviventer"
"1021","Xanthotis polygrammus","Xanthotis polygrammus"
"1022","Xanthotis macleayanus","Xanthotis macleayanus"
"1023","Oreornis chrysogenys","Oreornis chrysogenys"
"1024","Melithreptus lunatus","Melithreptus lunatus"
"1025","Melithreptus albogularis","Melithreptus albogularis"
"1026","Melithreptus gularis","Melithreptus gularis"
"1027","Pycnopygius ixoides","Pycnopygius ixoides"
"1028","Pycnopygius cinereus","Pycnopygius cinereus"
"1029","Pycnopygius stictocephalus","Pycnopygius stictocephalus"
"1030","Melitograis gilolensis","Melitograis gilolensis"
"1031","Philemon meyeri","Philemon meyeri"
"1032","Philemon inornatus","Philemon inornatus"
"1033","Philemon brassi","Philemon brassi"
"1034","Philemon citreogularis","Philemon citreogularis"
"1035","Philemon fuscicapillus","Philemon fuscicapillus"
"1036","Philemon moluccensis","Philemon moluccensis"
"1037","Philemon subcorniculatus","Philemon subcorniculatus"
"1038","Philemon buceroides","Philemon buceroides"
"1039","Philemon novaeguineae","Philemon novaeguineae"
"1040","Philemon cockerelli","Philemon cockerelli"
"1041","Philemon eichhorni","Philemon eichhorni"
"1042","Philemon argenticeps","Philemon argenticeps"
"1043","Philemon corniculatus","Philemon corniculatus"
"1044","Ptiloprora plumbea","Ptiloprora plumbea"
"1045","Ptiloprora meekiana","Ptiloprora meekiana"
"1046","Ptiloprora erythropleura","Ptiloprora erythropleura"
"1047","Ptiloprora guisei","Ptiloprora guisei"
"1048","Ptiloprora perstriata","Ptiloprora perstriata"
"1049","Melidectes fuscus","Melidectes fuscus"
"1050","Melidectes whitemanensis","Melidectes whitemanensis"
"1051","Melidectes nouhuysi","Melidectes nouhuysi"
"1052","Melidectes ochromelas","Melidectes ochromelas"
"1053","Melidectes leucostephes","Melidectes leucostephes"
"1054","Melidectes belfordi","Melidectes belfordi"
"1055","Melidectes rufocrissalis","Melidectes rufocrissalis"
"1056","Melidectes foersteri","Melidectes foersteri"
"1057","Melidectes torquatus","Melidectes torquatus"
"1058","Melipotes gymnops","Melipotes gymnops"
"1059","Melipotes fumigatus","Melipotes fumigatus"
"1060","Melipotes ater","Melipotes ater"
"1061","Myza celebensis","Myza celebensis"
"1062","Myza sarasinorum","Myza sarasinorum"
"1063","Phylidonyris niger","Phylidonyris niger"
"1064","Ramsayornis modestus","Ramsayornis modestus"
"1065","Ramsayornis fasciatus","Ramsayornis fasciatus"
"1066","Plectorhyncha lanceolata","Plectorhyncha lanceolata"
"1067","Conopophila albogularis","Conopophila albogularis"
"1068","Conopophila rufogularis","Conopophila rufogularis"
"1069","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris"
"1070","Entomyzon cyanotis","Entomyzon cyanotis"
"1071","Manorina melanocephala","Manorina melanocephala"
"1072","Manorina flavigula","Manorina flavigula"
"1073","Acanthagenys rufogularis","Acanthagenys rufogularis"
"1074","Epthianura aurifrons","Epthianura aurifrons"
"1075","Epthianura crocea","Epthianura crocea"
"1076","Pardalotus punctatus","Pardalotus punctatus"
"1077","Pardalotus rubricatus","Pardalotus rubricatus"
"1078","Pardalotus striatus","Pardalotus striatus"
"1079","Oreoscopus gutturalis","Oreoscopus gutturalis"
"1080","Crateroscelis murina","Crateroscelis murina"
"1081","Crateroscelis nigrorufa","Crateroscelis nigrorufa"
"1082","Crateroscelis robusta","Crateroscelis robusta"
"1083","Sericornis citreogularis","Sericornis citreogularis"
"1084","Sericornis frontalis","Sericornis frontalis"
"1085","Sericornis keri","Sericornis keri"
"1086","Sericornis beccarii","Sericornis beccarii"
"1087","Sericornis virgatus","Sericornis virgatus"
"1088","Sericornis nouhuysi","Sericornis nouhuysi"
"1089","Sericornis magnirostra","Sericornis magnirostra"
"1090","Sericornis rufescens","Sericornis rufescens"
"1091","Sericornis perspicillatus","Sericornis perspicillatus"
"1092","Sericornis arfakianus","Sericornis arfakianus"
"1093","Sericornis papuensis","Sericornis papuensis"
"1094","Sericornis spilodera","Sericornis spilodera"
"1095","Acanthiza murina","Acanthiza murina"
"1096","Acanthiza katherina","Acanthiza katherina"
"1097","Acanthiza reguloides","Acanthiza reguloides"
